Feature,Component,Specification,Expected_Behavior,Test_Method,Status,Issue_Number,Issue_Description
Security,API_Security,API endpoints must validate input and sanitize output,APIs reject malformed requests and escape output,Manual security testing of API endpoints,UNKNOWN,17,Need security validation for all API endpoints
Content_Management,Dynamic_Content,Shortcodes must render dynamic content from CPTs,Shortcodes pull live data from database not hardcoded content,Verify shortcode content changes when CPT data changes,PARTIAL,18,Shortcodes render some dynamic content but may have hardcoded fallbacks
Shortcode_System,Core_Shortcodes,terpedia_recent_research shortcode displays research content,Shortcode outputs research-related HTML content,wp eval 'echo do_shortcode("[terpedia_recent_research]");' | grep -c "Research",PASS,,
Route_System,Route_Content_Validation,/agents page contains agent listings,Agents page renders actual agent content not just 200 response,curl -s http://localhost:5000/agents | grep -i "agent",FAIL,1,
Route_System,Route_Content_Validation,/tersona page contains tersona listings,Tersona page renders actual tersona content not just 200 response,curl -s http://localhost:5000/tersona | grep -i "tersona",FAIL,2,
Route_System,Route_Content_Validation,/cyc page contains encyclopedia content,Encyclopedia home page renders proper encyclopedia interface,curl -s http://localhost:5000/cyc | grep -i "encyclopedia",FAIL,3,
Route_System,Route_Response_Time,All routes respond within 100ms,Fast response times for good user experience,timeout 1 curl -w '%{time_total}' -s -o /dev/null http://localhost:5000/agents,PASS,,
API_System,Encyclopedia_Search,/wp-json/terpedia/v1/encyclopedia/search API works,Encyclopedia search endpoint returns results,curl -s http://localhost:5000/wp-json/terpedia/v1/encyclopedia/search | grep -q "results",FAIL,4,
Text_Processing,WordPress_Filters,Text processing filters applied to content,WordPress content filters enhance text with links,wp eval 'echo apply_filters("the_content",FAIL,PASS,
Performance,Memory_Usage,Plugin uses reasonable memory,Memory usage under 50MB for good performance,php -r 'echo memory_get_peak_usage(true)/1024/1024 . "MB";',PASS,,
Theme_System,Theme_Assets,Theme CSS and JS files load correctly,Theme assets return HTTP 200 and contain expected content,curl -s -o /dev/null -w '%{http_code}' http://localhost:5000/wp-content/themes/terpedia-scientific/style.css | grep -q 200,FAIL,5,
Plugin_Structure,Plugin_Headers,Plugin header contains correct metadata,Plugin file has proper WordPress plugin headers,head -20 terpedia-plugin/terpedia.php | grep -q "Plugin Name",PASS,,
